"Title","Date","Affiliations","Description","Response","Victims","Sponsor","Type","Category","Response_type","link","state_victim","state_cat","date_orig","Year"
"Lazarus Group",2016-02-01,"Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack, the SWIFT-related bank heists, WannaCry, and Operation GhostSecret. Believed to use the same tools as Covellite. Known to the U.S. government as Hidden Cobra.","This threat actor targets and compromises entities primarily in South Korea and South Korean interests for espionage, disruption, and destruction. It has also been known to conduct cyber operations for financial gain, including targeting cryptocurrency exchanges. In 2018, the U.S. Department of Homeland Security issued a malware analysis report on a tool called Typeframe used by the Lazarus Group.

In September 2018, the U.S. Department of Justice criminally charged and sanctioned Park Jin-hyok and Chosun Expo Joint Venture, alleged members of this threat actor.","Sanctions   https://fcw.com/articles/2019/09/13/dprk-cyber-sanctions-johnson.aspx","South Korea, Sony Pictures Entertainment , United States, Bangladesh Bank","Korea (Democratic People's Republic of)","Espionage","Government","Sanctions ","https://fcw.com/articles/2019/09/13/dprk-cyber-sanctions-johnson.aspx  ",TRUE,"Middle Power","2016-02-01",2016
"Shamoon 2.0",2016-12-01,"Believed to have been partially the work of Chrysene","A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.",NA,"General Authority of Civil Aviation of Saudi Arabia",NA,"Data destruction","Government","   ","   ",TRUE,"NA","2016-12-01",2016
"SWIFT-related bank heists",2016-05-26,"Believed to be the work of Lazarus Group","A threat actor targets the worldwide financial transfer mechanism known as SWIFT to steal funds from banks in Bangladesh, Vietnam, Ecuador, and Poland. This is the first instance in where a state-sponsored actor was discovered to have compromised networks for financial gain.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.","Criminal charges   https://www.justice.gov/opa/press-release/file/1092091/download","Bangladesh Central Bank, Tien Phong Bank, Banco Del Austro, Poland","Korea (Democratic People's Republic of)","Sabotage","Government","Criminal charges"," https://www.justice.gov/opa/press-release/file/1092091/download",TRUE,"Middle Power","2016-05-26",2016
"Compromise of South Korean government computers (2016)",2016-12-06,NA,"A threat actor compromised computers associated with the South Korean Ministry of National Defense. In October 2017, South Korean officials confirmed that North Korea had exfiltrated over two hundred gigabytes of data from the defense ministry networks, including military plans the United States and South Korea would implement in the event of a war with North Korea.","Denouncement   http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html","South Korea","Korea (Democratic People's Republic of)","Espionage","Military","Denouncement ","http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html  ",TRUE,"Middle Power","2016-12-06",2016
"Denial of service incident against media websites in Sweden",2016-03-19,NA,"A threat actor launched a denial of service attack on ten news websites in Sweden, triggering a local police investigation. U.S. diplomatic cables later revealed that the United States suspected that Russia was responsible for the incident.",NA,"Sweden","Russian Federation","Denial of service","Private sector","   ","   ",FALSE,"Super Power","2016-03-19",2016
"Stealth Falcon",2016-05-29,NA,"This threat actor targets civil society groups and Emirati journalists, activists, and dissidents.",NA,"United Arab Emirates, United Kingdom","United Arab Emirates","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2016-05-29",2016
"Compromise of the Democratic National Committee",2016-06-14,"This incident is believed to be the work of APT 28. The Dukes were also found to be in the Democratic National Committee's networks.","In June 2016, suspected Russian threat actors were discovered in the networks of the U.S. Democratic National Committee (DNC). Intruders gained access to its research on Republican presidential candidate Donald J. Trump and emails and correspondences among DNC officials. Over the course of the presidential campaign, the threat actors released DNC correspondence through intermediaries such as WikiLeaks, revealing information about infighting among top party officials and leading to the resignation of the DNC chair. The threat actors also went after John Podesta, chairman of Hillary Clinton’s campaign, and released more embarrassing data throughout the summer.

The secretary of homeland security and the director of national intelligence released a joint statement asserting that the protracted cyber espionage campaign was the work of Russian actors. The Barack Obama administration subsequently sanctioned Russian intelligence officials and deported suspected officers working in the United States. The DNC compromise is believed to be part of a larger Russian espionage campaign waged for the purpose of manipulating the electoral systems in Western democracies and undermining faith in the democratic process in the United States, France, Germany, and elsewhere.

In July 2018, the U.S. Department of Justice indicted twelve officials of the Russian military intelligence agency, known as GRU, believed to have been responsible for this incident.

 

In October 2018, the UK government announced that the compromise was the work of Russian military intelligence.","Sanctions   https://obamawhitehouse.archives.gov/the-press-office/2016/12/29/fact-sheet-actions-response-russian-malicious-cyber-activity-and","Democratic National Committee, Democratic Congressional Campaign Committee","Russian Federation","Espionage","Civil society","Sanctions ","https://obamawhitehouse.archives.gov/the-press-office/2016/12/29/fact-sheet-actions-response-russian-malicious-cyber-activity-and  ",TRUE,"Super Power","2016-06-14",2016
"OilRig",2016-01-05,"Also known as Twisted Kitten and Crambus; possibly related to Magic Hound, APT 34, and Chrysene. Believed to use similar tools and infrastructure as Chafer","A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage. In October 2019, revealed to have been compromised by Turla. Some operations previously attributed to the group may be Turla false flags.",NA,"Israel, Turkey, Qatar, Kuwait, Saudi Arabia, Lebanon, United States","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2016-01-05",2016
"Targeting of the Islamic State group",2016-02-28,"Believed to be associated with the United Kingdom’s cyber operations against the Islamic State, revealed in 2018.","The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",NA,"The Islamic State Group","United States","Sabotage","Civil society","   ","   ",TRUE,"Super Power","2016-02-28",2016
"Operation Sphinx",2016-07-21,NA,"This threat actor targets government and military organizations in Egypt and Israel for espionage purposes.",NA,"Egypt, Israel",NA,"Espionage","Government","   ","   ",TRUE,"NA","2016-07-21",2016
"Compromise of computer networks associated with diplomats, journalists, and others in South Korea",2016-08-01,NA,"Threat actors targeted the email accounts of South Korean diplomats, journalists, and security officials.","Denouncement   http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html","South Korea","Korea (Democratic People's Republic of)","Espionage","Government","Denouncement ","http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html  ",TRUE,"Middle Power","2016-08-01",2016
"Compromise of a mobile app used by Ukrainian artillery units",2016-12-22,"Believed to be the work of APT 28","A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.","Denial   http://www.mil.gov.ua/news/2017/01/06/informacziya-po-vtrati-u-zs-ukraini-80-gaubicz-d-30%E2%80%9D-ne-vidpovidae-dijsnosti/","Ukraine Armed Forces","Russian Federation","Espionage","Military","Denial ","http://www.mil.gov.ua/news/2017/01/06/informacziya-po-vtrati-u-zs-ukraini-80-gaubicz-d-30%E2%80%9D-ne-vidpovidae-dijsnosti/  ",TRUE,"Super Power","2016-12-22",2016
"APT 16",2016-12-16,NA,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.",NA,"Japan, Taiwan","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2016-12-16",2016
"Targeting of Kazakh dissidents",2016-08-02,NA,"Threat actors targeted lawyers and exiled Kazakh dissidents for the purpose of espionage.",NA,"Kazakh dissidents","Kazakhstan","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2016-08-02",2016
"Attempted compromise of U.S. think tanks",2016-11-09,"Believed to be the work of the Dukes","A threat actor attempted to compromise the networks of U.S. think tanks associated with international affairs and national security. The attempts occurred shortly after the U.S. election in 2016.",NA,"Council on Foreign Relations, Brookings Institution","Russian Federation","Espionage","Civil society","   ","   ",TRUE,"Super Power","2016-11-09",2016
"Unnamed Actor",2016-04-13,NA,"This threat actor compromises civil society groups the Chinese Communist Party views as hostile to its interests, such as Tibetan, Uyghur, Hong Kong, and Taiwanese activist. The threat actor also targeted the Myanmar electoral commission.",NA,"China, Hong Kong, Taiwan, Myanmar","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2016-04-13",2016
"Prince of Persia",2016-05-02,NA,"This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark.",NA,"Israel, United States, Denmark, Iran, United Kingdom, Canada, France, Germany, Russia, China, Syria, Saudi Arabia, Sweden, Italy, Bahrain","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2016-05-02",2016
"Compromise of Burmese government websites",2016-01-12,NA,"A threat actor compromised Burmese websites in an attempt to compromise visitors to those websites for espionage purposes.",NA,"Myanmar",NA,"Espionage","Government","   ","   ",TRUE,"NA","2016-01-12",2016
"Warning of impending incident on Russian banking network",2016-12-02,NA,"Russian authorities warned that a foreign intelligence agency was seeking to compromise its banking sector.",NA,"Russia",NA,"Data destruction","Private sector","   ","   ",FALSE,"NA","2016-12-02",2016
"Onion Dog",2016-05-20,"Possibly linked to Icefog and the Dark Seoul compromise","This threat actor targets the South Korean government, transportation, and energy sectors.",NA,"South Korea",NA,"Espionage","Government","   ","   ",TRUE,"NA","2016-05-20",2016
"Mofang",2016-06-15,NA,"This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes.",NA,"Myanmar, Canada, United States, Germany, India, South Korea, Singapore","China","Espionage","Government","   ","   ",TRUE,"Super Power","2016-06-15",2016
"RUAG espionage",2016-05-23,"Believed to be the work of the Turla group","A threat actor compromised a Swiss defense contractor.",NA,"Switzerland","Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2016-05-23",2016
"Compromise of Ukrainian banks",2016-12-13,"Believed to be the work of the actors behind Black Energy","A threat actor compromised Ukrainian banks.",NA,"Ukraine","Russian Federation","Data destruction","Private sector","   ","   ",FALSE,"Super Power","2016-12-13",2016
"Operation Mermaid",2016-07-07,NA,"This threat actor is based in the Middle East (possibly Iran) and targets English- and Persian-language organizations. It is alleged to be the same group behind a compromise of the Danish Ministry of Foreign Affairs.",NA,"Ministry of Foreign Affairs, Iran,",NA,"Espionage","Government","   ","   ",TRUE,"NA","2016-07-07",2016
"Yahoo breach (2016)",2016-12-14,"Same state sponsor as the 2014 breach","A threat actor exploited a vulnerability in Yahoo's account log-in process, allowing it to access user accounts without a password. Approximately thirty-two million accounts were affected.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions","Yahoo","Russian Federation","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions",FALSE,"Super Power","2016-12-14",2016
"Project Sauron",2016-07-08,"Also known as Strider","This threat actor compromises targets in the Military, telecommunications, and financial sectors in Belgium, China, Iran, Russia, Sweden, and elsewhere.",NA,"Russia, Belgium, Sweden, Iran, China, Rwanda","United States","Espionage","Government","   ","   ",TRUE,"Super Power","2016-07-08",2016
"Compromise of entities involved in the China-Philippines territorial dispute",2016-07-12,NA,"A threat actor targeted the Department of Justice of the Philippines, the Asia-Pacific Economic Cooperation (APEC), and a major international law firm representing one of the parties in the dispute over the Scarborough Shoal.",NA,"Philippines","China","Espionage","Government","   ","   ",TRUE,"Super Power","2016-07-12",2016
"A compromise causes a power outage in Kiev, Ukraine",2016-12-20,"Used an evolution of the tools developed by the team behind Black Energy.","A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride. ",NA,"Ukrenergo","Russian Federation","Sabotage","Private sector","   ","   ",FALSE,"Super Power","2016-12-20",2016
"APT 3",2015-06-23,"Also known as UPS, Gothic Panda, Buckeye, and Boyusec","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kong–based targets afterward. The U.S. Department of Justice indicted three members of this threat actor group in November 2017 for compromising the networks of three U.S. companies.",NA,"United States, United Kingdom, Hong Kong","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2015-06-23",2015
"Emissary Panda",2015-08-05,"Also known as TG-3390, APT 27, and TEMP.Hippo. Believed to have been responsible for the compromise of a Mongolian data center.","This threat actor compromises web pages to lure targets for espionage purposes. It focuses on the aerospace, automotive, technology, and energy sectors, primarily in the United States and United Kingdom.",NA,"United States, United Kingdom, France","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-08-05",2015
"Compromise of TV5 Monde",2015-04-09,"Suspected to be the work of APT 28","In May 2015, threat actors compromised French television network TV5 Monde, disrupting broadcasts for three hours and gaining access to the network’s social media accounts. A group allegedly allied with the self-declared Islamic State and calling itself the Cyber Caliphate initially claimed responsibility for the incident. However, later investigations revealed links to Russian hacking group APT 28.

TV5 Monde is an example of a “false flag” operation, whereby a threat actor tries to mask its identity by leaving clues or attributes that would cause the victim to pin the blame on someone else. The threat actors behind TV5 Monde were successful enough in their flagging to lead French authorities to believe the incident was a terrorist attack. It is unknown why Russia would have conducted a false flag operation in France disguising itself as the Islamic State. 

In October 2018, the UK government announced that this incident was the work of Russian military intelligence.","Denouncement   http://www.thelocal.fr/20150409/frances-tv5-monde-isis-cyberattack-charlie-hebdo","TV5 Monde","Russian Federation","Defacement","Private sector","Denouncement ","http://www.thelocal.fr/20150409/frances-tv5-monde-isis-cyberattack-charlie-hebdo  ",FALSE,"Super Power","2015-04-09",2015
"Targeting of the government of Thailand",2015-11-24,"Believed to be the work of Winnti Umbrella","A threat actor used a tool called Bookworm to compromise government agencies in Thailand, for the purpose of espionage.",NA,"Thailand","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-11-24",2015
"Targeting of Ugandan political opposition members, journalists, and activists",2015-10-16,"The government of Uganda","The government of Uganda, under the Yoweri Museveni administration, used FinFisher, an advanced spyware developed by Gamma Group, to quell political unrest that resulted from allegations of corruption and police brutality after the 2011 general election.",NA,"Uganda","Uganda","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2015-10-16",2015
"APT 17",2015-05-14,"Also known as Deputy Dog and Axiom. Believed to be associated with Winnti Umbrella","This threat actor targets U.S. government entities, the defense industrial base, law firms, information technology companies, resource extraction companies, and nongovernmental organizations. Ethical hacking group Intrusion Truth doxed three members of this threat actor: two hackers plus the head of four Chinese companies who is also believed to be an officer of the Chinese Ministry of State Security (MSS). The hackers are believed to be operating as contractors for the Jinan bureau of the Chinese MSS, where they carry out on-demand hacking operations.",NA,"United States","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-05-14",2015
"Rocket Kitten",2015-11-09,"Possibly linked to Saffron Rose","This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",NA,"Saudi Arabia, Israel, Yemen, Venezuela, Iraq, United Kingdom, Afghanistan, Kuwait, Egypt, United Arab Emirates, Turkey, Syria, Iran, Canada, Jordan","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2015-11-09",2015
"APT 30",2015-04-12,"Also known as Naikon, PLA Unit 78020, Lotus Panda. Possibly responsible for the JadeRAT tool.","This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.",NA,"India, Thailand, South Korea, Saudi Arabia, Malaysia, United States, Vietnam, Cambodia, Indonesia, Myanmar, China, Laos, Singapore, Phillipines","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-04-12",2015
"Compromise of Anthem",2015-02-06,"Believed to be the work of Deep Panda","A threat actor compromised a U.S. health insurance company, resulting in compromised personal data on eighty million customers.","Criminal charges   https://www.justice.gov/opa/press-release/file/1161466/download","Anthem","China","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/press-release/file/1161466/download",FALSE,"Super Power","2015-02-06",2015
"Ocean Lotus",2015-05-31,"Also known as APT 32","This threat actor, known to use watering-hole attacks to compromise victims, targets organizations of interest to the Vietnamese government for espionage purposes. Victims have included human rights organizations, research institutes and maritime construction firms in China, and media organizations. Also believed to have been responsible for disclosing confidential Filipino government documents. ",NA,"China, United States, Philippines, Germany, Vietnam, Association of Southeast Asian Nations, Cambodia, Laos","Vietnam","Espionage","Government","   ","   ",TRUE,"Middle Power","2015-05-31",2015
"Goblin Panda",2015-06-01,NA,"This threat actor targets government agencies and entities in the defense and energy sectors in Southeast Asia with an interest in issues related to tensions in the South China Sea.",NA,"Vietnam","China",NA,"Government","   ","   ",TRUE,"Super Power","2015-06-01",2015
"Gamaredon",2015-04-28,"Also known as the Gamaredon Group.","A Russian-linked threat group known as Gamaredon uses custom-developed malware in attacks aimed at Ukraine. The group has been active since at least 2013.",NA,"Ukraine","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2015-04-28",2015
"Duqu 2.0",2015-06-10,"Associated with Duqu. Believed to have been the tool used to compromise Kaspersky Labs.","A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotiations on Iran's nuclear program.",NA,"Iran","Israel","Espionage","Government","   ","   ",TRUE,"Middle Power","2015-06-10",2015
"Chafer",2015-12-07,"Believed to use similar tools and infrastructure as OilRig","This threat actor targets organizations in the aerospace, technology, telecommunications, and engineering sectors for the purpose of espionage.",NA,"Saudi Arabia, United Arab Emirates, Israel, Jordan, Turkey","Iran (Islamic Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2015-12-07",2015
"Compromise of the Permanent Court of Arbitration's website",2015-10-16,NA,"A threat actor compromised the website of the Permanent Course of Arbitration for espionage purposes, intending to compromise visitors to the website.",NA,"Permanent Court of Arbitration","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-10-16",2015
"Compromise of unclassified White House networks",2015-04-07,"Suspected to be the work of the Dukes","Threat actors compromised unclassified White House networks using access from compromised networks at the State Department.",NA,"White House, U.S Department of State","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2015-04-07",2015
"Compromise of South Korean government computers (2015)",2015-10-20,NA,"A threat actor compromised government networks affiliated with members of the South Korean parliament. The threat actor also attempted to compromise the Foreign Ministry, Defense Ministry, and the Blue House.","Denouncement   http://www.upi.com/Top_News/World-News/2015/10/20/Spy-agency-North-Korea-hackers-stole-sensitive-South-Korean-data/9041445353950/","Members of the National Assembly","Korea (Democratic People's Republic of)","Espionage","Government","Denouncement ","http://www.upi.com/Top_News/World-News/2015/10/20/Spy-agency-North-Korea-hackers-stole-sensitive-South-Korean-data/9041445353950/  ",TRUE,"Middle Power","2015-10-20",2015
"Blue Termite",2015-08-20,"This threat actor is believed to have been responsible for the Japan Pension Service incident. It is also known as Emdivi and Cloudy Omega.","This threat actor targets Japanese entities in the government, manufacturing, finance, space, education, food, and medical sectors for espionage purposes.",NA,"Japan",NA,"Espionage","Government","   ","   ",TRUE,"NA","2015-08-20",2015
"Attempted compromise of the Dutch organization investigating the crash of flight MH17",2015-10-22,"Possibly attributed to APT 28","A threat actor attempted to compromise the networks of the Dutch Safety Board, the group charged with investigating the crash of Malaysia Airlines Flight 17, which crashed in Ukraine.",NA,"Dutch Safety Board","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2015-10-22",2015
"Compromise of networks in the Saudi government ministries",2015-05-21,"Believed to be the work of Saffron Rose","A threat actor compromised the networks of several Saudi government ministries for the purposes of espionage and doxing.",NA,"Ministry of Foreign Affairs, Ministry of the Interior, Ministry of Defense","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2015-05-21",2015
"Compromise of social media accounts of State Department officials",2015-11-24,NA,"A threat actor compromised social media accounts of junior State Department staff to launch spear-phishing campaigns for espionage purposes.",NA,"U.S. Department of State","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2015-11-24",2015
"Compromise of the networks at the German parliament (Bundestag)",2015-05-29,"Believed to be the work of APT 28","A threat actor compromised the networks of the German parliament for the purpose of espionage.","Denouncement   http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC","Bundestag","Russian Federation","Espionage","Government","Denouncement ","http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC  ",TRUE,"Super Power","2015-05-29",2015
"Network compromise at the Australian Bureau of Meteorology",2015-12-01,NA,"A threat actor compromised the networks of Australia's Bureau of Meteorology for espionage purposes.",NA,"Bureau of Meteorology","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-12-01",2015
"Compromise of the Japanese pension system",2015-06-01,"Linked to Blue Termite","A threat actor compromised the networks of the Japan Pension Service and gained access to the pension records of over 1.25 million individuals.",NA,"Japan Pension Service",NA,"Espionage","Government","   ","   ",TRUE,"NA","2015-06-01",2015
"Compromise of a power grid in eastern Ukraine",2015-12-23,"Possible link to Black Energy","In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long as six hours in some areas. During the outage, threat actors also flooded customer services phone lines with calls to prevent customers from reporting the incident.

The compromise of the Ukrainian power grid was an escalation from previous disruptive incidents and the first confirmed cyber operation to successfully take down energy infrastructure. The incident set an ominous precedent for the security of power grids around the world. The electricity distribution system in Ukraine was again targeted in 2016.","Denouncement   http://www.reuters.com/article/us-ukraine-cybersecurity-idUSKCN0VL18E","Prikarpattiaoblenergo Electric Company","Russian Federation","Sabotage","Private sector","Denouncement ","http://www.reuters.com/article/us-ukraine-cybersecurity-idUSKCN0VL18E  ",FALSE,"Super Power","2015-12-23",2015
"Equation Group",2015-02-16,"Also known as Tilded Team, it is associated with Flame, Stuxnet, Regin, Gauss, and Duqu.","In 2015, Moscow-based Kaspersky Lab published a report on the Equation Group, a threat actor active since 2001 [PDF]. It was responsible for infecting approximately five hundred systems in at least forty-two countries. The malware used by Equation Group had the ability to reprogram hard drives and then self-destruct, which made the operations effectively invisible and indestructible. Targeted systems ranged from the private to the public sector, from energy departments to military operations to media outlets.

The tools and scope of the Equation Group suggest that it is one of the most sophisticated threat actors operating in cyberspace. Many believe that Equation Group is a state-sponsored entity, such as the U.S. National Security Agency or a joint effort between it and its Five Eyes allies.",NA,"Iran, Russia, Pakistan, Afghanistan, India, China, Syria, Mali, Lebanon, Yemen, Algeria, United Arab Emirates, Kenya, United Kingdom, Libya","United States","Espionage","Government","   ","   ",TRUE,"Super Power","2015-02-16",2015
"Compromise of a Pentagon legacy system",2015-06-04,"Suspected to be the work of the Dukes","A threat actor compromised a legacy unclassified network at the Department of Defense.","Denouncement   http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043","Pentagon","Russian Federation","Espionage","Military","Denouncement ","http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043  ",TRUE,"Super Power","2015-06-04",2015
"Compromise at the Office of Personnel Management",2015-07-10,"Suspected to be the work of Deep Panda","A threat actor compromised the networks of the U.S. Office of Personnel Management, exposing the data of at least 22.1 million people who have applied for a U.S. security clearance.","Unknown   http://www.nytimes.com/2015/08/01/world/asia/us-decides-to-retaliate-against-chinas-hacking.html?_r=0","Office of Personnel Management","China","Espionage","Government","Unknown ","http://www.nytimes.com/2015/08/01/world/asia/us-decides-to-retaliate-against-chinas-hacking.html?_r=0  ",TRUE,"Super Power","2015-07-10",2015
"Hellsing",2015-04-15,"Possibly uses the same infrastructure as Mirage","This threat actor uses spear-phishing techniques to compromise diplomatic targets in Southeast Asia, India, and the United States. It also seems to have targeted the APT 30.",NA,"Malaysia, Philippines, India, Indonesia, United States","China","Espionage","Government","   ","   ",TRUE,"Super Power","2015-04-15",2015
"Compromise of an unclassified network associated with the U.S. Joint Chiefs of Staff",2015-07-28,"Believed to be the work of APT 28","A threat actor compromised an unclassified network used by the U.S. Joint Chiefs of Staff for espionage purposes.",NA,"Joint Chiefs of Staff","Russian Federation","Espionage","Military","   ","   ",TRUE,"Super Power","2015-07-28",2015
"Compromise of United Airlines",2015-07-29,"Suspected to be the work of Deep Panda","A threat actor compromised the network of United Airlines for espionage purposes, gaining access to flight manifests.",NA,"United Airlines","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2015-07-29",2015
"Targeting of Ukrainian law enforcement and government officials",2015-03-13,NA,"A threat actor attempted to compromise Ukrainian officials in government and law enforcement for espionage purposes. Ukrainian intelligence claims this was done in support of Russian-backed military activities in eastern Ukraine.","Denouncement   http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317","Ukraine","Russian Federation","Espionage","Military","Denouncement ","http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317  ",TRUE,"Super Power","2015-03-13",2015
"Compromise of the Seoul subway system",2015-10-05,"Believed to be the work of the same actors behind Dark Seoul and possibly linked to Onion Dog","A threat actor compromised networks associated with Seoul's subway system.","Denouncement   http://www.koreaherald.com/view.php?ud=20151005001125","Seoul Subway System","Korea (Democratic People's Republic of)","Espionage","Government","Denouncement ","http://www.koreaherald.com/view.php?ud=20151005001125  ",TRUE,"Middle Power","2015-10-05",2015
"Disruption of GitHub",2015-03-27,NA,"A threat actor launched a denial of service attack against GitHub to prevent access to internet content banned in China, such as the New York Times. The incident was the first in which threat actors, believed to be associated with the government of China, used a tool dubbed the Great Cannon.",NA,"GitHub","China","Denial of service","Private sector","   ","   ",FALSE,"Super Power","2015-03-27",2015
"Black Energy",2014-11-03,"Also known as Sandworm, Voodoo Bear, and Electrum. Believed to be responsible for the 2008 DDoS attacks in Georgia and the 2015 Ukraine power grid outage. Code used by this threat actor was also found in the alleged Russian compromise of networking equipment. There is possible overlap between Black Energy and the threat actor behind the compromise of the 2018 Winter Olympics.","This threat actor targets industrial control systems, using a tool called Black Energy, associated with electricity and power generation for espionage, denial of service, and data destruction purposes. Some believe that the threat actor is linked to the 2015 compromise of the Ukrainian electrical grid and a distributed denial of service prior to the Russian invasion of Georgia. 

In 2018, Germany’s domestic intelligence agency released a technical alert about this threat actor, and the United Kingdom attributed the actor to Russian military intelligence.",NA,"Russia, Ukraine, Poland, Lithuania, Belarus, Azerbaijan, Kyrgyzstan, Kazakhstan, Iran, Israel, Georgia","Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2014-11-03",2014
"Newscaster",2014-05-28,"Also known as Charming Kitten, APT 35, Ajax Security Team, Phosphorus, and Group 83. Possibly linked to Rocket Kitten","This threat actor uses watering hole attacks and fake profiles to lure targets from the U.S. government for espionage purposes. Also believed to target scholars who study Iran, human rights organizations, and the media. At least one cybersecurity company claims that Behzah Mesri, who was indicted by the U.S. Department of Justice for compromising the networks of HBO, was a member of this threat actor group",NA,"U.S. government/defense sector websites, Israel, United Kingdom, Saudi Arabia, Iraq","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2014-05-28",2014
"APT 18",2014-09-02,"Also known as Dynamite Panda and TG-0416","This threat actor targets human rights groups, government entities, and companies in the pharmaceutical, medical, industrial, and information technology sectors.",NA,"United States","China","Espionage","Government","   ","   ",TRUE,"Super Power","2014-09-02",2014
"Compromise of Community Health Systems",2014-09-08,"Believed to be the work of APT 18","Community Health Systems, a large hospital group in the United States, announced that its computer networks  were compromised, leading to the exfiltration of Social Security numbers and other personal information of approximately 4.5 million people to China.",NA,"Community Health Systems","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2014-09-08",2014
"Crouching Yeti",2014-07-31,"Also known as Energetic Bear, Dragonfly, Group 24, and Koala Team. Possibly associated with Allanite and Dymalloy. Believed to be behind the targeting of critical infrastructure entities in the United States and Germany, prompting both countries to issue technical alerts","This threat actor targets companies in the education, energy, construction, information technology, and pharmaceutical sectors for the purposes of espionage. It uses malware tailored to target industrial control systems.",NA,"United States, Spain, Japan, Germany, France, Italy, Turkey, Ireland, Poland, China, Russia, Ukraine, United Kingdom, Greece","Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2014-07-31",2014
